timestamp_iso,best_bid,best_ask
2025-11-08T07:42:46.543062Z,0.01,0.99
2025-11-08T07:42:50.222711Z,0.01,0.99
2025-11-08T07:42:52.026570Z,0.01,0.99
2025-11-08T07:42:56.326549Z,0.01,0.99
2025-11-08T07:42:57.712923Z,0.01,0.99
2025-11-08T07:43:00.437882Z,0.01,0.99
2025-11-08T07:43:04.805155Z,0.01,0.99
